Date,VOO,VT,AAPL,MSFT
28/06/2011,99.585541,39.596634,41.574192,20.932148
29/06/2011,100.476509,40.106239,41.422905,20.786104
30/06/2011,101.434692,40.583511,41.625027,21.09441
01/07/2011,102.964462,41.044586,42.566242,21.11063
05/07/2011,102.796349,40.955612,43.331356,21.118748
06/07/2011,102.947639,40.842358,43.620285,21.362141
07/07/2011,104.073936,41.230629,44.29488,21.719128
08/07/2011,103.367882,40.82618,44.606133,21.840824
11/07/2011,101.451492,39.871651,43.898079,21.605539
12/07/2011,100.997627,39.572361,43.867054,21.53252
13/07/2011,101.350624,39.968731,44.396561,21.605539
14/07/2011,100.695023,39.669422,44.365566,21.475725
15/07/2011,101.249779,39.91209,45.252216,21.727243
18/07/2011,100.392456,39.410576,46.353371,21.573088
19/07/2011,102.023071,40.065796,46.731598,22.343842
20/07/2011,102.023071,40.316563,47.977856,21.954414
21/07/2011,103.384727,40.971783,48.026226,21.986864
22/07/2011,103.468765,40.979866,48.771503,22.335728
25/07/2011,102.880394,40.664394,49.416325,22.644032
26/07/2011,102.443344,40.729107,50.025188,22.781961
27/07/2011,100.409256,39.847385,48.683449,22.173468
28/07/2011,100.123474,39.782677,48.587967,22.48988
29/07/2011,99.350166,39.709877,48.421799,22.230259
01/08/2011,98.997154,39.410576,49.199318,22.124784
02/08/2011,96.526001,38.423687,48.227108,21.743464
03/08/2011,97.013519,38.577381,48.680962,21.840824
04/08/2011,92.47467,36.296223,46.796078,21.045725
05/08/2011,92.272949,36.449932,46.331059,20.834785
08/08/2011,86.355659,33.764317,43.80011,19.861189
09/08/2011,90.222076,35.665272,46.379433,20.753649
10/08/2011,86.305206,33.926086,45.099674,19.634022
11/08/2011,90.087608,35.568203,46.340988,20.437237
12/08/2011,90.810432,35.891766,46.748955,20.364218
15/08/2011,92.676414,36.692593,47.545071,20.696854
16/08/2011,91.886322,36.312405,47.181747,20.696856
17/08/2011,91.987183,36.474186,47.176781,20.615215
18/08/2011,88.171181,34.848263,45.39233,20.141672
19/08/2011,86.490143,34.32246,44.149811,19.635481
22/08/2011,86.557373,34.346725,44.20063,19.578331
23/08/2011,89.549652,35.535847,46.328583,20.182499
24/08/2011,90.776833,35.697632,46.648514,20.329462
25/08/2011,89.415138,34.937244,46.34346,20.060028
26/08/2011,90.591904,35.487305,47.566154,20.615215
29/08/2011,93.23114,36.449932,48.358555,21.096916
30/08/2011,93.399254,36.490372,48.361027,21.415331
31/08/2011,93.869926,36.830105,47.721169,21.717421
01/09/2011,92.962173,36.571266,47.249947,21.399008
02/09/2011,90.558296,35.68145,46.38438,21.06426
06/09/2011,89.936279,35.034317,47.08997,20.82749
07/09/2011,92.47467,36.005024,47.609558,21.227549
08/09/2011,91.499672,35.438782,47.635601,21.407167
09/09/2011,89.095764,34.411449,46.809719,21.01527
12/09/2011,89.734573,34.370995,47.114777,21.137737
13/09/2011,90.474228,34.69458,47.695129,21.26021
14/09/2011,91.751831,35.082851,48.275471,21.635773
15/09/2011,93.332024,35.673359,48.729343,22.035824
16/09/2011,93.886757,35.754246,49.664333,22.14197
19/09/2011,93.012611,35.066669,51.044514,22.215443
20/09/2011,92.86132,35.058571,51.270206,22.027664
21/09/2011,90.053955,33.982727,51.107769,21.219385
22/09/2011,87.229797,32.567112,49.82803,20.460089
23/09/2011,87.635521,32.866413,50.135559,20.460089
26/09/2011,89.765533,33.56208,49.995438,20.77034
27/09/2011,90.796761,34.209221,49.510563,20.958122
28/09/2011,88.987915,33.465012,49.231552,20.88464
29/09/2011,89.630325,33.934174,48.432957,20.778509
30/09/2011,87.500282,32.88258,47.285904,20.321293
03/10/2011,84.812386,32.057487,46.452591,20.02737
04/10/2011,86.671936,32.688446,46.192177,20.688694
05/10/2011,88.396233,33.295143,46.905209,21.137737
06/10/2011,90.103653,34.104057,46.796078,21.505136
07/10/2011,89.410522,33.812843,45.857357,21.43166
10/10/2011,92.436531,35.066669,48.21471,21.995007
11/10/2011,92.402733,34.929146,49.638298,22.043989
12/10/2011,93.248001,35.616726,49.873898,22.011335
13/10/2011,93.112747,35.422588,50.647697,22.190956
14/10/2011,94.651108,36.021206,52.33046,22.264431
17/10/2011,92.87606,35.147568,52.081215,22.027664
18/10/2011,94.735603,35.835144,52.360218,22.297091
19/10/2011,93.552261,35.30125,49.431206,22.150127
20/10/2011,93.974907,35.252724,49.020737,22.076645
21/10/2011,95.783745,36.093994,48.718178,22.174618
24/10/2011,97.00087,36.644058,50.317844,22.199118
25/10/2011,95.124443,35.988842,49.325802,21.88887
26/10/2011,96.037315,36.498455,49.676746,21.709251
27/10/2011,99.35067,38.108204,50.183929,22.2481
28/10/2011,99.452118,37.986866,50.216164,22.027664
31/10/2011,96.899467,36.587444,50.195084,21.741907
01/11/2011,94.329887,35.535847,49.169544,21.219385
02/11/2011,95.817558,36.166798,49.281162,21.235708
03/11/2011,97.592545,36.902912,49.983025,21.660263
04/11/2011,97.034706,36.595528,49.632099,21.43166
07/11/2011,97.592545,36.765408,49.568848,21.880701
08/11/2011,98.759003,37.218391,50.374889,22.174618
09/11/2011,95.19207,35.503487,49.017017,21.390833
10/11/2011,96.054207,35.875591,47.76952,21.456152
11/11/2011,97.930687,36.668324,47.695129,21.970516
14/11/2011,96.983994,36.118263,47.030453,21.848043
15/11/2011,97.491127,36.134445,48.21719,21.996113
16/11/2011,95.918968,35.584381,47.713711,21.444971
17/11/2011,94.380615,35.001968,46.801037,21.009005
18/11/2011,94.245384,35.034317,46.494747,20.811577
21/11/2011,92.554878,34.233486,45.759399,20.564804
22/11/2011,92.064629,34.184944,46.689438,20.392059
23/11/2011,90.120544,33.287048,45.5089,20.128826
25/11/2011,89.850067,33.181892,45.084801,19.988991
28/11/2011,92.537964,34.427628,46.641071,20.457865
29/11/2011,92.808464,34.548954,46.278976,20.433186
30/11/2011,96.612076,36.134445,47.395027,21.041897
01/12/2011,96.544464,35.972672,48.105583,20.795128
02/12/2011,96.493744,35.956478,48.325073,20.745777
05/12/2011,97.54184,36.385212,48.735531,21.140617
06/12/2011,97.626381,36.296223,48.480083,21.10771
07/12/2011,97.947563,36.417576,48.249424,21.058357
08/12/2011,95.834427,35.430683,48.444118,20.893841
09/12/2011,97.457344,36.093994,48.81118,21.140617
12/12/2011,96.054207,35.252724,48.590443,20.984324
13/12/2011,95.141342,34.880619,48.21471,21.189974
14/12/2011,94.076317,34.451897,47.145782,21.050135
15/12/2011,94.431328,34.581318,46.990784,21.025452
16/12/2011,94.49894,34.637959,47.248707,21.387392
19/12/2011,93.535362,34.217304,47.396271,21.000771
20/12/2011,96.324699,35.31744,49.100113,21.412075
21/12/2011,96.612076,35.232967,49.162125,21.189974
22/12/2011,97.524933,35.638794,49.422523,21.231102
23/12/2011,98.295319,35.85413,50.015266,21.412075
27/12/2011,98.397346,35.804432,50.412094,21.420301
28/12/2011,97.189919,35.266087,49.929707,21.239328
29/12/2011,98.074249,35.680206,50.237251,21.403845
30/12/2011,97.700119,35.763023,50.222366,21.354488
03/01/2012,99.145615,36.433891,50.994907,22.020796
04/01/2012,99.315689,36.433891,51.26897,22.539021
05/01/2012,99.638786,36.243393,51.838169,22.769344
06/01/2012,99.434731,35.970081,52.380054,23.123066
09/01/2012,99.587791,36.094318,52.29697,22.818701
10/01/2012,100.438095,36.64922,52.484222,22.900967
11/01/2012,100.540123,36.599541,52.398655,22.802252
12/01/2012,100.7612,36.715496,52.254814,23.032576
13/01/2012,100.336052,36.392475,52.05888,23.238224
17/01/2012,100.608154,36.698925,52.665272,23.24645
18/01/2012,101.730537,37.187588,53.212147,23.221771
19/01/2012,102.274757,37.518864,53.043495,23.131289
20/01/2012,102.274757,37.601692,52.119652,24.439213
23/01/2012,102.376801,37.64312,53.001335,24.45566
24/01/2012,102.223732,37.502312,52.133289,24.13485
25/01/2012,103.125061,37.957844,55.388439,24.315825
26/01/2012,102.59787,37.817032,55.136707,24.266466
27/01/2012,102.461823,37.866734,55.465321,24.044367
30/01/2012,102.121696,37.634823,56.17588,24.356953
31/01/2012,102.070671,37.717644,56.606174,24.291142
01/02/2012,103.040001,38.239429,56.570229,24.58728
02/02/2012,103.244095,38.388523,56.437527,24.636635
03/02/2012,104.706612,38.926868,57.00301,24.875191
06/02/2012,104.553566,38.827484,57.534985,24.842279
07/02/2012,104.876694,38.959999,58.137642,24.965668
08/02/2012,105.097786,39.109089,59.11108,25.220673
09/02/2012,105.216805,39.158764,61.155975,25.311155
10/02/2012,104.502556,38.636993,61.186947,25.08906
13/02/2012,105.301834,38.976551,62.325325,25.154863
14/02/2012,105.148804,38.819195,63.176003,25.047222
15/02/2012,104.689613,38.744659,61.713982,24.881622
16/02/2012,105.829033,39.274723,62.276939,25.908352
17/02/2012,106.084122,39.382401,62.2658,25.875235
21/02/2012,106.15213,39.39896,63.844391,26.032551
22/02/2012,105.795021,39.283009,63.619949,25.891792
23/02/2012,106.305206,39.423805,64.035378,25.974592
24/02/2012,106.458237,39.64743,64.781898,26.065668
27/02/2012,106.645317,39.548042,65.197319,25.958031
28/02/2012,107.019463,39.771667,66.393959,26.388596
29/02/2012,106.441261,39.514908,67.265724,26.280954
01/03/2012,107.138504,39.895893,67.517464,26.736357
02/03/2012,106.849388,39.606018,67.605492,26.562479
05/03/2012,106.390236,39.35754,66.114967,26.330631
06/03/2012,104.72364,38.388523,65.755348,26.131912
07/03/2012,105.556931,38.810913,65.808655,26.36376
08/03/2012,106.577293,39.45694,67.209908,26.504519
09/03/2012,106.985435,39.423805,67.604279,26.487959
